"roleId","roleName","createdAt","updatedAt"
"0896a425-03cf-40ee-b531-3acfb7c99a69","admin","2022-03-09 23:59:13.359+07","2022-03-09 23:59:13.359+07"
"11165645-6e22-4a10-b4e0-11ff0d949753","evaluator","2022-03-10 00:00:12.721+07","2022-03-10 00:00:12.721+07"
"2951f4df-0d8d-49fc-9b61-df7638fd036d","student","2022-03-09 23:58:50.349+07","2022-03-09 23:58:50.349+07"
"7729148a-0e3f-46f0-8651-9c91081b198f","mentor","2022-03-07 16:02:18.879+07","2022-03-07 16:02:18.879+07"
"b640c290-2919-46aa-a295-b0b51134bba4","moderator","2022-03-09 23:59:06.522+07","2022-03-09 23:59:06.522+07"
